index negative positive
2014-09-03 1e-06 1e-06
2014-09-04 1e-06 0.305393
2014-09-05 1e-06 1e-06
2014-09-06 1e-06 1e-06
2014-09-07 1e-06 1e-06
2014-09-08 0.01710305 0.1244405
2014-09-09 0.260344 1e-06
2014-09-10 0.241911 1e-06
2014-09-11 1e-06 1e-06
2014-09-12 0.2363505 1e-06
2014-09-13 1e-06 1e-06
2014-09-14 1e-06 1e-06
2014-09-15 1e-06 1e-06
2014-09-16 1e-06 1e-06
2014-09-17 0.11384625 0.059529
2014-09-18 1e-06 1e-06
2014-09-19 1e-06 0.0217105
2014-09-20 1e-06 0.06886985
2014-09-21 0.0676372857143 0.0529382857143
2014-09-22 0.0312941666667 0.05889025
2014-09-23 0.0717763074074 0.00461218518519
2014-09-24 0.0457478 1e-06
2014-09-25 0.172144675 1e-06
2014-09-26 0.163975 1e-06
2014-09-27 1e-06 1e-06
2014-09-28 0.0870155 0.1399775
2014-09-29 1e-06 1e-06
2014-09-30 0.055443 0.081163
2014-10-01 1e-06 1e-06
2014-10-02 1e-06 0.1223855
2014-10-03 0.193929333333 1e-06
2014-10-04 1e-06 1e-06
2014-10-05 1e-06 1e-06
2014-10-06 1e-06 1e-06
2014-10-07 1e-06 0.042199
2014-10-08 0.0246558571429 0.0608486857143
2014-10-09 0.174019 1e-06
2014-10-10 1e-06 1e-06
2014-10-11 1e-06 0.057148
2014-10-12 1e-06 1e-06
2014-10-13 1e-06 1e-06
2014-10-14 1e-06 1e-06
2014-10-15 0.1766575 0.0625065
2014-10-16 1e-06 0.2280435
2014-10-17 1e-06 0.146004
2014-10-18 0.053596 1e-06
2014-10-19 1e-06 1e-06
2014-10-20 1e-06 1e-06
2014-10-21 1e-06 0.250997
2014-10-22 0.0392348333333 0.100029333333
2014-10-23 1e-06 1e-06
2014-10-24 0.145701666667 1e-06
2014-10-25 0.2441795 1e-06
2014-10-26 0.426511 1e-06
2014-10-27 1e-06 1e-06
2014-10-28 0.0630383333333 1e-06
2014-10-29 1e-06 1e-06
2014-10-30 0.101490666667 0.0754783333333
2014-10-31 1e-06 0.1304505
2014-11-01 1e-06 1e-06
2014-11-02 1e-06 0.0159397
2014-11-03 1e-06 1e-06
2014-11-04 0.177887 0.2230215
2014-11-05 0.10199325 0.0462185
2014-11-06 1e-06 1e-06
2014-11-07 0.170379666667 0.0973946666667
2014-11-08 1e-06 1e-06
2014-11-09 1e-06 0.538965
2014-11-10 1e-06 1e-06
2014-11-11 0.1997058 0.2301862
2014-11-12 0.148045727273 0.00934427272727
2014-11-13 0.0508368571429 0.0320538857143
2014-11-14 0.10584826 0.0449426
2014-11-15 0.220578666667 1e-06
2014-11-16 1e-06 1e-06
2014-11-17 0.25683975 0.1073215
2014-11-18 0.265185666667 0.0447483333333
2014-11-19 0.208208111111 0.0957527
2014-11-20 0.157327 0.0255586
2014-11-21 1e-06 0.190725333333
2014-11-22 0.1486165 1e-06
2014-11-23 1e-06 1e-06
2014-11-24 1e-06 1e-06
2014-11-25 1e-06 0.0532955
2014-11-26 1e-06 0.0255030333333
2014-11-27 1e-06 0.145435
2014-11-28 0.26513025 1e-06
2014-11-29 1e-06 1e-06
2014-11-30 0.146235666667 0.078492
2014-12-01 0.0815633333333 0.00929256666667
2014-12-02 1e-06 0.01554525
2014-12-03 1e-06 0.283679666667
2014-12-04 0.204185666667 0.0647076666667
2014-12-05 0.22959085 1e-06
2014-12-06 1e-06 1e-06
2014-12-07 1e-06 1e-06
2014-12-08 1e-06 0.38469
2014-12-09 0.0246014571429 0.0824545714286
2014-12-10 0.0297095 1e-06
2014-12-11 1e-06 0.0794341
2014-12-12 0.0557152666667 1e-06
2014-12-13 0.663355 1e-06
2014-12-14 1e-06 0.132883666667
2014-12-15 0.0425665 0.0730583333333
2014-12-16 0.125613 0.063271825
2014-12-17 0.304068 1e-06
2014-12-18 0.189267 0.097979
2014-12-19 1e-06 0.4518845
2014-12-20 1e-06 0.19428225
2014-12-21 0.094116 0.00695193333333
2014-12-22 1e-06 1e-06
2014-12-23 1e-06 0.0764503333333
2014-12-24 1e-06 1e-06
2014-12-25 0.32711 1e-06
2014-12-26 1e-06 1e-06
2014-12-27 1e-06 1e-06
2014-12-28 0.525406 1e-06
2014-12-29 1e-06 1e-06
2014-12-30 1e-06 1e-06
2014-12-31 0.0142103666667 0.120778666667
2015-01-01 1e-06 1e-06
2015-01-02 1e-06 1e-06
2015-01-03 0.529391 1e-06
2015-01-04 0.186017 1e-06
2015-01-05 1e-06 1e-06
2015-01-06 0.258563 1e-06
2015-01-07 0.0847493333333 0.118106666667
2015-01-08 0.177908 1e-06
2015-01-09 0.235786633333 1e-06
2015-01-10 1e-06 1e-06
2015-01-11 1e-06 0.0693917
2015-01-12 1e-06 0.241884
2015-01-13 0.44876 1e-06
2015-01-14 0.352457333333 0.101218666667
2015-01-15 1e-06 0.104209
2015-01-16 0.1471378 0.0755738
2015-01-17 1e-06 1e-06
2015-01-18 1e-06 0.106855
2015-01-19 1e-06 0.0669493333333
2015-01-20 0.187429333333 1e-06
2015-01-21 0.0869025 0.0828645
2015-01-22 1e-06 1e-06
2015-01-23 1e-06 1e-06
2015-01-24 0.0291908 1e-06
2015-01-25 1e-06 1e-06
2015-01-26 1e-06 1e-06
2015-01-27 0.151204 0.1253925
2015-01-28 0.1654895 1e-06
2015-01-29 0.110111666667 1e-06
2015-01-30 1e-06 0.251519
2015-01-31 1e-06 1e-06
2015-02-01 1e-06 1e-06
2015-02-02 0.062235 1e-06
2015-02-03 1e-06 1e-06
2015-02-04 0.233957 1e-06
2015-02-05 1e-06 1e-06
2015-02-06 1e-06 0.1653925
2015-02-07 1e-06 1e-06
2015-02-08 1e-06 0.331282
2015-02-09 1e-06 1e-06
2015-02-10 1e-06 0.126327333333
2015-02-11 1e-06 1e-06
2015-02-12 1e-06 1e-06
2015-02-13 0.212211 1e-06
2015-02-14 1e-06 1e-06
2015-02-15 0.172518 1e-06
2015-02-16 1e-06 1e-06
2015-02-17 1e-06 0.2178975
2015-02-18 0.191291 1e-06
2015-02-19 1e-06 1e-06
2015-02-20 1e-06 1e-06
2015-02-21 1e-06 1e-06
